PO_ID,Supplier,Order_Date,Delivery_Date,Item_Category,Order_Status,Quantity,Unit_Price,Negotiated_Price,Defective_Units,Defect Rate%,Compliance,Compliance Numeric Score,Order_Amount,Saved Amount,Defected Unit amount,Deli Time taken,Deliv_Performance,Missing date flag
PO-00001,Alpha_Inc,17-10-2023,25-10-2023,Office Supplies,Cancelled,1176,20.13,17.81,0,0%,Yes,1,20944.56,2728.32,0,8,6-10,Valid
PO-00002,Delta_Logistics,25-04-2022,05-05-2022,Office Supplies,Delivered,1509,39.32,37.34,235,16%,Yes,1,56346.06,2987.82,8774.9,10,6-10,Valid
PO-00003,Gamma_Co,26-01-2022,15-02-2022,MRO,Delivered,910,95.51,92.26,41,5%,Yes,1,83956.6,2957.5,3782.66,20,16-20,Valid
PO-00004,Beta_Supplies,09-10-2022,28-10-2022,Packaging,Delivered,1344,99.85,95.52,112,8%,Yes,1,128378.88,5819.52,10698.24,19,16-20,Valid
PO-00005,Delta_Logistics,08-09-2022,20-09-2022,Raw Materials,Delivered,1180,64.07,60.53,171,14%,No,0,71425.4,4177.2,10350.63,12,11-15,Valid
PO-00006,Epsilon_Group,17-08-2022,29-08-2022,MRO,Delivered,1145,69.21,63.57,39,3%,Yes,1,72787.65,6457.8,2479.23,12,11-15,Valid
PO-00007,Gamma_Co,23-05-2022,03-06-2022,MRO,Delivered,1774,51.37,47.82,96,5%,No,0,84832.68,6297.7,4590.72,11,11-15,Valid
PO-00008,Alpha_Inc,15-04-2022,29-04-2022,MRO,Delivered,1094,36.93,32.78,22,2%,Yes,1,35861.32,4540.1,721.16,14,11-15,Valid
PO-00009,Gamma_Co,24-11-2023,28-11-2023,Raw Materials,Partially Delivered,1688,43.93,39.89,89,5%,Yes,1,67334.32,6819.52,3550.21,4,0-5,Valid
PO-00010,Gamma_Co,13-07-2023,25-07-2023,Raw Materials,Pending,171,76.87,70.2,8,5%,Yes,1,12004.2,1140.57,561.6,12,11-15,Valid
PO-00011,Epsilon_Group,31-03-2022,15-04-2022,Raw Materials,Delivered,5000,78.49,73.68,18,0%,Yes,1,368400,24050,1326.24,15,11-15,Valid
PO-00012,Beta_Supplies,28-08-2023,11-09-2023,Raw Materials,Delivered,5000,88.96,86.58,115,2%,Yes,1,432900,11900,9956.7,14,11-15,Valid
PO-00013,Beta_Supplies,09-03-2023,26-03-2023,Electronics,Pending,5000,86.74,74.86,51,1%,Yes,1,374300,59400,3817.86,17,16-20,Valid
PO-00014,Beta_Supplies,02-02-2022,,MRO,Delivered,5000,18.3,16.88,0,0%,Yes,1,84400,7100,0,Not Updated,Not Updated,Missing
PO-00015,Delta_Logistics,31-01-2022,18-02-2022,Electronics,Pending,5000,54.5,48.45,22,0%,Yes,1,242250,30250,1065.9,18,16-20,Valid
PO-00016,Beta_Supplies,06-04-2022,21-04-2022,Packaging,Delivered,5000,15.41,15.12,0,0%,Yes,1,75600,1450,0,15,11-15,Valid
PO-00017,Delta_Logistics,12-08-2022,31-08-2022,MRO,Delivered,1173,61.54,55.49,172,15%,No,0,65089.77,7096.65,9544.28,19,16-20,Valid
PO-00018,Epsilon_Group,27-08-2022,04-09-2022,Raw Materials,Delivered,921,51.48,50.61,0,0%,Yes,1,46611.81,801.27,0,8,6-10,Valid
PO-00019,Gamma_Co,02-06-2023,05-06-2023,Raw Materials,Partially Delivered,1737,97.53,87.37,79,5%,Yes,1,151761.69,17647.92,6902.23,3,0-5,Valid
PO-00020,Delta_Logistics,09-09-2023,24-09-2023,Raw Materials,Delivered,180,45.74,38.89,0,0%,No,0,7000.2,1233,0,15,11-15,Valid
PO-00021,Epsilon_Group,28-01-2022,12-02-2022,Electronics,Cancelled,1735,20.54,19.69,49,3%,Yes,1,34162.15,1474.75,964.81,15,11-15,Valid
PO-00022,Delta_Logistics,29-07-2023,11-08-2023,Raw Materials,Delivered,1382,24.93,23.75,0,0%,Yes,1,32822.5,1630.76,0,13,11-15,Valid
PO-00023,Epsilon_Group,23-07-2022,08-08-2022,MRO,Delivered,819,80.89,77.03,29,4%,Yes,1,63087.57,3161.34,2233.87,16,16-20,Valid
PO-00024,Beta_Supplies,28-10-2023,03-11-2023,Office Supplies,Partially Delivered,393,72.53,66.31,42,11%,No,0,26059.83,2444.46,2785.02,6,6-10,Valid
PO-00025,Beta_Supplies,20-12-2023,01-01-2024,MRO,Delivered,1565,21.3,20.09,161,10%,Yes,1,31440.85,1893.65,3234.49,12,11-15,Valid
PO-00026,Epsilon_Group,13-07-2023,24-07-2023,Packaging,Delivered,1487,19.15,17.24,0,0%,Yes,1,25635.88,2840.17,0,11,11-15,Valid
PO-00027,Alpha_Inc,06-03-2023,26-03-2023,MRO,Delivered,855,78.2,67.16,17,2%,Yes,1,57421.8,9439.2,1141.72,20,16-20,Valid
PO-00028,Epsilon_Group,14-08-2022,23-08-2022,Raw Materials,Delivered,435,17.13,15.84,8,2%,Yes,1,6890.4,561.15,126.72,9,6-10,Valid
PO-00029,Delta_Logistics,05-04-2023,22-04-2023,MRO,Delivered,1265,90.26,79.47,187,15%,Yes,1,100529.55,13649.35,14860.89,17,16-20,Valid
PO-00030,Epsilon_Group,27-08-2023,,MRO,Delivered,1005,80.55,73.31,30,3%,Yes,1,73676.55,7276.2,2199.3,Not Updated,Not Updated,Missing
PO-00031,Gamma_Co,12-10-2022,26-10-2022,Electronics,Delivered,326,18.1,15.92,0,0%,No,0,5189.92,710.68,0,14,11-15,Valid
PO-00032,Alpha_Inc,07-01-2022,15-01-2022,Office Supplies,Delivered,1234,17.64,15.66,26,2%,Yes,1,19324.44,2443.32,407.16,8,6-10,Valid
PO-00033,Epsilon_Group,13-06-2022,29-06-2022,MRO,Delivered,509,101.27,97.82,19,4%,Yes,1,49790.38,1756.05,1858.58,16,16-20,Valid
PO-00034,Alpha_Inc,16-12-2023,17-12-2023,Packaging,Delivered,1387,48.71,43.71,27,2%,Yes,1,60625.77,6935,1180.17,1,0-5,Valid
PO-00035,Alpha_Inc,09-03-2023,17-03-2023,MRO,Delivered,71,46.39,43.18,0,0%,Yes,1,3065.78,227.91,0,8,6-10,Valid
PO-00036,Epsilon_Group,15-12-2022,23-12-2022,Office Supplies,Delivered,302,87.73,81.52,9,3%,Yes,1,24619.04,1875.42,733.68,8,6-10,Valid
PO-00037,Epsilon_Group,12-10-2022,31-10-2022,Office Supplies,Pending,797,99.54,91.37,18,2%,Yes,1,72821.89,6511.49,1644.66,19,16-20,Valid
PO-00038,Beta_Supplies,09-06-2022,27-06-2022,Office Supplies,Pending,906,101.21,90.9,94,10%,Yes,1,82355.4,9340.86,8544.6,18,16-20,Valid
PO-00039,Epsilon_Group,09-08-2022,23-08-2022,Office Supplies,Delivered,1634,80.53,76.15,50,3%,Yes,1,124429.1,7156.92,3807.5,14,11-15,Valid
PO-00040,Epsilon_Group,11-12-2022,,Office Supplies,Delivered,524,46.28,39.65,14,3%,Yes,1,20776.6,3474.12,555.1,Not Updated,Not Updated,Missing
PO-00041,Beta_Supplies,15-04-2022,27-04-2022,Electronics,Delivered,1132,17.78,15.36,96,8%,Yes,1,17387.52,2739.44,1474.56,12,11-15,Valid
PO-00042,Beta_Supplies,05-04-2022,14-04-2022,Office Supplies,Delivered,560,81.14,77.87,34,6%,No,0,43607.2,1831.2,2647.58,9,6-10,Valid
PO-00043,Gamma_Co,25-01-2023,02-02-2023,Electronics,Delivered,1755,63.87,58.4,85,5%,Yes,1,102492,9599.85,4964,8,6-10,Valid
PO-00044,Epsilon_Group,10-04-2022,17-04-2022,MRO,Delivered,1549,48.9,42.42,48,3%,Yes,1,65708.58,10037.52,2036.16,7,6-10,Valid
PO-00045,Delta_Logistics,03-01-2023,21-01-2023,MRO,Delivered,749,97.07,94.16,123,16%,Yes,1,70525.84,2179.59,11581.68,18,16-20,Valid
PO-00046,Alpha_Inc,19-12-2022,,Electronics,Delivered,1025,21.11,19.25,15,1%,Yes,1,19731.25,1906.5,288.75,Not Updated,Not Updated,Missing
PO-00047,Beta_Supplies,11-09-2023,18-09-2023,Raw Materials,Delivered,1856,59.77,50.81,191,10%,Yes,1,94303.36,16629.76,9704.71,7,6-10,Valid
PO-00048,Epsilon_Group,28-09-2022,14-10-2022,Office Supplies,Delivered,239,11.46,11.28,4,2%,Yes,1,2695.92,43.02,45.12,16,16-20,Valid
PO-00049,Delta_Logistics,14-02-2022,05-03-2022,Office Supplies,Pending,1007,52.44,46.06,167,17%,Yes,1,46382.42,6424.66,7692.02,19,16-20,Valid
PO-00050,Alpha_Inc,16-04-2023,,MRO,Pending,736,16.2,15.33,18,2%,Yes,1,11282.88,640.32,275.94,Pending/Cancelled,Pending/Cancelled,Valid
PO-00051,Epsilon_Group,04-07-2023,14-07-2023,Electronics,Delivered,1007,22.56,19.59,0,0%,Yes,1,19727.13,2990.79,0,10,6-10,Valid
PO-00052,Delta_Logistics,08-05-2022,,Office Supplies,Delivered,612,20.99,19.75,102,17%,Yes,1,12087,758.88,2014.5,Not Updated,Not Updated,Missing
PO-00053,Alpha_Inc,23-01-2023,02-02-2023,MRO,Pending,1949,72.53,63.26,48,2%,No,0,123293.74,18067.23,3036.48,10,6-10,Valid
PO-00054,Delta_Logistics,22-03-2022,28-03-2022,Office Supplies,Cancelled,1640,77.92,76.41,262,16%,No,0,125312.4,2476.4,20019.42,6,6-10,Valid
PO-00055,Beta_Supplies,20-07-2023,07-08-2023,Electronics,Delivered,1317,68.13,60.52,136,10%,Yes,1,79704.84,10022.37,8230.72,18,16-20,Valid
PO-00056,Epsilon_Group,28-10-2022,30-10-2022,Raw Materials,Delivered,881,100.94,95.05,30,3%,Yes,1,83739.05,5189.09,2851.5,2,0-5,Valid
PO-00057,Delta_Logistics,06-10-2023,,Packaging,Delivered,1578,48.33,42.77,206,13%,Yes,1,67491.06,8773.68,8810.62,Not Updated,Not Updated,Missing
PO-00058,Delta_Logistics,26-09-2023,01-10-2023,MRO,Delivered,1204,39.29,35.44,0,0%,Yes,1,42669.76,4635.4,0,5,0-5,Valid
PO-00059,Epsilon_Group,06-01-2023,22-01-2023,MRO,Pending,1558,93.46,91.27,39,3%,Yes,1,142198.66,3412.02,3559.53,16,16-20,Valid
PO-00060,Alpha_Inc,15-08-2023,16-08-2023,Packaging,Delivered,1892,32.99,28.81,35,2%,Yes,1,54508.52,7908.56,1008.35,1,0-5,Valid
PO-00061,Epsilon_Group,16-07-2022,01-08-2022,Packaging,Delivered,696,99.59,90.18,25,4%,Yes,1,62765.28,6549.36,2254.5,16,16-20,Valid
